Date,XOM,CVX,MRO,PSX,VLO,SLB,HAL,OXY,EQT
2023-03-03,112.81,164.96,26.53,106.02,141.17,55.99,38.89,61.25,34.35
2023-03-02,111.4,162.56,26.1,105.81,139.23,55.3,38.39,60.27,33.36
2023-03-01,110.89,162.05,25.79,107.24,139.29,54.89,37.51,59.71,33.3
2023-02-28,109.91,160.77,25.15,102.56,131.73,53.21,36.23,58.56,33.18
2023-02-27,110.55,162.82,25.83,103.65,135.05,54.4,37.18,58.96,33.53
2023-02-24,110.75,162.41,25.59,102.0,132.75,53.92,36.99,58.98,34.73
2023-02-23,110.74,161.93,25.48,100.35,132.43,53.32,36.23,59.22,32.49
2023-02-22,109.73,160.35,25.11,99.47,130.69,52.41,35.71,58.42,31.98
2023-02-21,111.17,161.0,25.42,99.65,132.2,53.4,36.4,59.82,30.44
2023-02-17,111.28,162.85,25.86,99.54,129.61,53.34,36.5,60.73,31.25
2023-02-16,115.73,166.57,26.78,104.92,133.97,55.78,38.58,62.5,31.83
2023-02-15,116.07,169.01,26.07,106.65,136.37,55.99,37.95,62.9,30.62
2023-02-14,116.42,172.32,27.16,107.95,139.69,56.82,38.96,66.34,31.08
2023-02-13,117.8,171.01,27.33,108.26,139.8,57.31,39.27,64.76,30.86
2023-02-10,119.17,171.97,27.75,107.38,140.73,56.36,39.02,65.63,31.67
2023-02-09,114.35,168.44,26.13,102.11,132.62,53.84,37.66,63.2,30.5
2023-02-08,113.92,170.0,26.6,102.74,134.12,54.71,39.28,63.93,29.81
2023-02-07,114.92,174.09,26.87,102.28,134.52,53.89,39.03,64.6,30.66
2023-02-06,111.73,169.64,25.79,98.08,128.09,53.09,38.31,61.55,29.98
2023-02-03,111.92,169.45,26.03,98.81,131.73,52.64,38.57,61.24,31.26
2023-02-02,111.15,169.01,26.19,98.98,133.05,52.29,38.56,62.47,31.84
2023-02-01,114.74,171.36,26.78,97.99,136.23,55.7,40.84,63.5,31.63
2023-01-31,116.01,174.02,27.47,100.27,140.03,56.98,41.22,64.79,32.67
2023-01-30,113.56,174.2,27.09,106.42,140.19,56.34,40.34,64.13,32.15
2023-01-27,115.61,179.45,28.31,108.73,143.21,56.97,40.52,66.54,32.93
2023-01-26,117.76,187.79,28.76,111.49,149.96,57.47,41.0,67.09,33.1
2023-01-25,113.21,179.08,27.86,108.85,143.35,56.25,40.03,64.52,33.22
2023-01-24,113.81,180.83,27.85,107.01,145.03,55.47,39.84,64.43,34.21
2023-01-23,112.76,180.66,28.1,106.94,143.08,55.86,40.57,66.5,35.24
2023-01-20,113.35,180.9,27.88,106.96,142.73,57.35,40.69,66.91,33.95
2023-01-19,111.32,179.0,27.39,104.38,138.47,57.38,40.19,65.67,33.93
2023-01-18,110.61,177.23,26.88,102.71,135.52,57.13,40.6,64.42,33.65
2023-01-17,112.93,180.49,26.8,102.51,137.61,58.46,42.53,64.72,35.19
2023-01-13,113.15,177.56,27.08,103.03,136.13,58.28,42.66,65.31,34.81
2023-01-12,113.22,177.08,27.38,102.86,135.32,58.0,42.17,65.74,34.96
2023-01-11,111.37,175.2,27.05,101.42,133.6,56.32,40.99,64.09,33.4
2023-01-10,110.09,176.04,27.01,101.57,132.01,55.96,40.94,64.15,34.04
2023-01-09,108.47,175.18,27.03,102.01,128.58,55.64,40.44,64.08,34.67
2023-01-06,110.53,176.56,26.6,105.7,127.56,54.5,40.21,63.75,33.34
2023-01-05,109.21,175.24,25.87,103.02,126.59,52.67,38.95,62.22,32.08
2023-01-04,106.82,172.14,25.32,100.68,119.62,51.7,38.43,61.11,33.21
2023-01-03,106.51,173.99,25.64,101.03,120.04,51.5,37.66,61.05,31.82
2022-12-30,110.3,179.49,27.07,104.08,126.86,53.46,39.35,62.99,33.83
2022-12-29,109.2,178.32,26.78,104.11,126.32,52.91,38.87,62.28,33.87
2022-12-28,108.38,176.98,26.58,102.15,125.35,52.6,38.08,62.08,33.5
2022-12-27,110.19,179.63,27.65,104.58,126.41,53.5,39.27,64.33,36.34
2022-12-23,108.68,177.4,27.44,103.94,124.37,52.99,39.09,63.95,36.21
2022-12-22,105.88,172.08,26.7,100.53,119.62,51.39,37.54,61.8,35.0
2022-12-21,108.06,174.7,27.74,103.35,122.68,53.31,38.63,63.73,36.64
2022-12-20,106.69,172.67,27.15,102.64,121.88,51.76,37.42,62.37,36.14
2022-12-19,105.17,169.88,27.03,100.61,119.71,49.83,36.06,62.41,36.11
2022-12-16,104.7,168.72,27.33,100.64,119.37,49.38,35.85,62.53,37.24
2022-12-15,105.44,171.04,27.86,101.47,119.92,50.11,36.69,63.16,38.23
2022-12-14,106.46,172.33,27.47,101.28,119.73,50.43,36.55,63.68,37.81
2022-12-13,107.25,173.53,27.68,102.13,120.53,51.05,37.0,64.28,37.11
2022-12-12,106.09,169.75,27.18,102.07,120.66,49.1,34.3,64.03,36.91
2022-12-09,103.54,168.0,26.17,98.0,114.65,46.97,33.01,62.6,35.67
2022-12-08,104.42,173.54,26.84,100.9,116.9,49.92,34.87,63.71,35.69
2022-12-07,103.65,172.52,27.41,103.01,120.19,49.8,35.05,63.95,36.73
2022-12-06,103.88,172.01,27.45,103.08,118.86,50.88,36.2,64.14,36.91
2022-12-05,106.85,176.56,28.52,104.15,120.96,51.38,36.82,66.36,37.07
2022-12-02,109.86,181.03,29.74,106.66,127.07,52.79,38.87,68.21,39.93
2022-12-01,110.8,182.49,30.09,108.04,132.03,51.76,37.89,68.8,41.52
2022-11-30,111.34,183.31,30.63,108.44,133.62,51.55,37.89,69.49,42.41
2022-11-29,110.54,181.03,30.35,108.97,135.2,51.05,37.16,69.11,42.66
2022-11-28,109.81,178.36,29.81,107.82,134.84,49.88,35.88,68.23,41.52
2022-11-25,113.21,183.7,30.38,110.78,138.4,50.83,36.36,70.28,43.03
2022-11-23,113.61,184.24,30.65,110.71,139.21,51.42,36.56,71.12,43.56
2022-11-22,114.18,185.89,31.19,112.29,141.98,53.64,37.45,72.77,43.78
2022-11-21,110.97,181.24,30.04,109.03,135.96,52.27,36.13,69.59,41.33
2022-11-18,112.08,182.99,30.8,108.99,137.62,53.44,36.71,71.25,41.03
2022-11-17,113.06,184.09,31.3,109.73,137.91,52.83,37.47,71.46,41.69
2022-11-16,112.91,184.99,31.45,107.68,135.53,52.99,37.85,71.93,41.49
2022-11-15,114.13,188.05,32.94,111.11,140.71,54.67,38.91,74.43,43.76
2022-11-14,113.37,186.55,32.5,110.26,136.8,54.07,38.05,73.28,42.37
2022-11-11,113.95,186.46,32.88,111.3,133.96,54.82,38.74,74.33,42.62
2022-11-10,110.5,181.3,31.6,106.24,132.45,53.1,37.81,70.48,42.9
2022-11-09,108.9,177.93,30.63,104.09,128.0,53.07,36.81,67.93,40.84
2022-11-08,114.0,185.34,32.73,105.11,132.25,54.69,39.37,74.83,43.94
2022-11-07,113.64,185.61,33.03,105.43,131.78,54.81,39.54,75.97,44.18
2022-11-04,112.31,183.42,32.03,103.48,128.72,53.1,38.48,73.27,41.08
2022-11-03,111.1,181.13,31.42,103.12,129.71,51.8,36.86,72.16,39.35
2022-11-02,109.61,178.5,29.76,103.24,125.83,51.14,35.79,71.1,40.47
2022-11-01,111.91,182.22,30.93,107.38,130.0,51.55,36.5,73.8,40.75
2022-10-31,110.81,180.9,30.45,104.29,125.55,52.03,36.42,72.6,41.84
2022-10-28,110.7,179.98,30.16,104.2,125.98,50.45,35.95,71.84,38.68
2022-10-27,107.55,177.9,30.52,103.56,128.27,51.68,36.27,71.87,39.1
2022-10-26,107.14,177.09,30.18,102.26,126.74,52.18,36.48,72.52,39.01
2022-10-25,105.88,174.93,29.65,100.22,126.8,52.47,34.98,71.09,39.6
2022-10-24,106.6,173.13,29.47,100.4,129.22,52.15,34.58,70.83,38.33
2022-10-21,105.86,173.19,29.15,100.44,127.74,50.41,33.88,71.26,37.88
2022-10-20,103.93,168.96,28.23,97.74,124.44,45.69,31.66,68.85,40.74
2022-10-19,103.79,168.0,28.35,97.95,123.96,45.47,31.96,68.46,42.21
2022-10-18,100.8,162.72,27.56,96.11,117.7,43.36,30.46,67.78,41.81
2022-10-17,100.62,161.31,27.14,95.46,115.5,42.86,29.99,67.36,41.81
2022-10-14,99.19,160.14,27.05,94.1,114.12,42.16,29.41,66.68,41.13
2022-10-13,101.87,165.28,28.33,96.9,120.86,44.19,31.11,68.0,44.37
2022-10-12,98.43,157.64,27.44,92.94,115.2,42.02,29.8,65.11,43.55
2022-10-11,98.0,157.17,27.04,90.34,109.69,41.76,29.56,64.03,43.55
2022-10-10,98.84,157.14,27.52,91.11,110.86,42.13,29.55,65.63,42.77
2022-10-07,101.03,160.03,27.94,92.5,113.78,42.59,30.41,69.8,43.17
2022-10-06,102.06,161.42,28.25,93.36,119.22,42.49,29.81,70.5,43.94
2022-10-05,99.12,158.53,27.19,92.61,118.09,41.57,29.24,67.74,45.34
2022-10-04,95.27,157.63,26.5,90.36,117.58,39.12,28.12,66.17,44.91
2022-10-03,91.92,151.73,24.97,84.58,112.31,38.3,26.38,64.06,41.75
2022-09-30,87.31,143.67,22.58,80.72,106.85,35.9,24.62,61.45,40.75
2022-09-29,88.68,144.77,22.8,80.63,107.24,35.97,24.64,62.11,39.53
2022-09-28,88.86,145.78,22.67,81.4,108.8,35.44,24.74,61.41,40.81
2022-09-27,85.74,141.02,21.39,76.22,101.17,33.98,23.76,58.53,39.29
2022-09-26,83.98,140.96,21.09,74.16,97.89,33.86,23.31,57.88,39.38
2022-09-23,85.75,144.77,21.9,75.99,100.57,35.0,24.58,58.73,41.26
2022-09-22,90.57,154.89,24.59,82.27,107.59,38.23,26.92,61.88,44.63
2022-09-21,90.95,155.01,25.18,81.27,105.53,37.58,27.08,62.68,45.39
2022-09-20,92.44,156.28,25.76,83.22,107.42,38.5,27.62,64.28,46.56
2022-09-19,93.2,156.9,25.93,81.93,104.67,38.97,28.37,64.68,47.34
2022-09-16,93.21,156.45,26.22,80.73,104.46,38.37,28.19,64.41,46.06
2022-09-15,94.83,160.62,26.8,81.87,105.16,39.63,29.4,65.09,48.09
2022-09-14,97.67,163.27,27.36,86.0,109.59,40.24,30.4,67.2,50.6
2022-09-13,95.33,159.41,26.49,86.16,111.33,38.47,29.15,65.34,47.91
2022-09-12,97.61,162.5,27.2,89.56,114.25,40.15,30.28,66.8,50.3
2022-09-09,96.5,159.97,26.35,88.03,113.32,39.65,29.66,65.61,48.35
2022-09-08,94.91,155.95,25.61,85.93,111.93,38.17,28.41,64.61,47.1
2022-09-07,94.14,155.11,24.92,86.32,112.62,37.06,28.68,65.43,46.0
2022-09-06,94.95,157.12,25.52,86.76,112.78,37.36,29.52,66.88,45.43
2022-09-02,95.59,157.85,25.71,88.46,113.82,38.07,30.01,68.77,47.28
2022-09-01,93.87,155.54,24.92,86.33,110.64,36.85,28.94,68.4,46.31
2022-08-31,95.59,158.06,25.59,89.46,117.12,38.15,30.13,71.0,47.8
2022-08-30,96.31,160.62,25.58,90.15,118.03,38.68,30.35,72.01,46.87
2022-08-29,100.12,164.63,26.79,93.2,123.42,40.38,31.9,75.26,50.01
2022-08-26,97.87,163.41,26.16,92.18,121.88,39.42,31.1,73.55,49.67
2022-08-25,99.09,164.62,26.37,93.81,123.36,40.17,31.87,74.48,49.48
2022-08-24,98.58,163.19,26.29,92.37,122.12,39.91,31.66,74.91,49.69
2022-08-23,98.0,161.99,25.71,91.41,122.11,39.36,31.22,73.79,47.84
2022-08-22,94.01,156.9,24.65,88.23,119.13,36.92,29.19,69.03,49.12
2022-08-19,94.08,157.69,24.46,88.44,118.55,37.12,29.39,71.29,47.7
2022-08-18,94.38,159.02,24.6,88.69,118.79,37.13,29.83,64.88,48.24
2022-08-17,92.2,157.7,23.41,89.87,117.75,35.4,28.2,62.97,47.11
2022-08-16,91.46,156.41,23.05,89.36,113.31,35.58,28.21,63.51,47.19
2022-08-15,92.32,156.81,23.39,89.16,111.95,35.76,28.47,64.34,45.25
2022-08-12,94.0,159.85,24.06,90.0,115.19,37.14,29.55,65.73,46.19
2022-08-11,93.19,159.62,23.91,88.33,114.09,36.89,29.57,65.69,45.8
2022-08-10,91.45,155.82,22.34,85.63,111.76,34.92,28.41,62.86,43.51
2022-08-09,90.59,155.41,21.96,85.53,110.67,34.99,28.31,62.41,42.91
2022-08-08,88.95,153.41,21.83,83.8,106.39,34.65,28.0,60.04,41.34
2022-08-05,88.45,153.64,21.77,83.76,104.99,34.66,27.79,59.01,42.28
2022-08-04,87.19,151.14,21.47,82.65,104.33,33.95,27.27,57.46,41.25
2022-08-03,91.02,155.36,22.89,85.51,107.81,35.54,28.43,60.99,42.79
2022-08-02,94.07,159.14,23.88,87.54,112.99,36.69,28.6,65.06,41.88
2022-08-01,94.48,160.51,23.99,87.49,110.65,36.4,28.19,65.23,42.31
2022-07-29,96.93,163.78,24.8,89.0,110.77,37.03,29.3,65.75,44.03
2022-07-28,92.64,150.39,23.95,88.01,109.51,35.71,28.64,62.64,42.75
2022-07-27,91.57,149.26,23.88,88.34,111.5,36.33,28.89,62.78,45.44
2022-07-26,89.63,147.32,22.91,85.95,107.63,35.6,28.04,62.07,45.57
2022-07-25,89.98,148.48,23.18,87.24,109.32,36.17,28.42,64.41,44.98
2022-07-22,87.08,144.19,21.75,84.53,104.02,35.07,27.46,61.06,42.23
2022-07-21,87.75,145.4,22.16,85.21,104.15,33.63,28.14,62.0,42.44
2022-07-20,89.24,146.52,22.92,86.85,109.28,34.14,29.26,63.55,41.21
2022-07-19,88.27,144.61,22.52,85.41,108.74,34.22,29.46,62.82,39.14
2022-07-18,86.1,139.58,21.57,82.75,106.31,33.13,28.85,60.05,37.86
2022-07-15,84.54,137.65,20.85,81.64,104.59,32.3,27.86,58.71,36.62
2022-07-14,83.14,135.94,20.41,78.55,100.78,31.33,27.34,57.23,36.12
2022-07-13,84.84,137.99,20.74,79.65,102.39,32.29,28.3,58.01,36.66
2022-07-12,84.5,138.92,20.66,80.51,104.86,32.73,28.6,57.37,34.39
2022-07-11,85.64,141.51,21.32,81.76,107.79,33.37,29.36,59.52,34.56
