Date,XOM,CVX,MRO,PSX,VLO,SLB,HAL,OXY,EQT,XOM,CVX,MRO,PSX,VLO,SLB,HAL,OXY,EQT,XOM,CVX,Spread,Ratio,Log_XOM,Log_CVX
2023-03-03,112.81,164.96,26.53,106.02,141.17,55.99,38.89,61.25,34.35,0.01257766,0.01465586,0.01634085,0.00198272,0.0138376,0.01240019,0.01294014,0.01612938,0.02924444,112.81,164.96,52.15,1.462281713,0.01257766,0.01465586
2023-03-02,111.4,162.56,26.1,105.81,139.23,55.3,38.39,60.27,33.36,0.00458861,0.00314223,0.01194849,-0.01342428,-0.00043085,0.00744173,0.02318944,0.00933496,0.00180018,111.4,162.56,51.16,1.459245961,0.00458861,0.00314223
2023-03-01,110.89,162.05,25.79,107.24,139.29,54.89,37.51,59.71,33.3,0.00887687,0.00793016,0.02512892,0.04462132,0.05580372,0.03108483,0.03472006,0.01944764,0.00361011,110.89,162.05,51.16,1.461358103,0.00887687,0.00793016
2023-02-28,109.91,160.77,25.15,102.56,131.73,53.21,36.23,58.56,33.18,-0.00580606,-0.01267052,-0.02667871,-0.01057185,-0.02489071,-0.02211781,-0.02588348,-0.00680738,-0.01049328,109.91,160.77,50.86,1.462742244,-0.00580606,-0.01267052
2023-02-27,110.55,162.82,25.83,103.65,135.05,54.4,37.18,58.96,33.53,-0.0018075,0.00252129,0.00933496,0.01604703,0.01717742,0.00886269,0.00512338,-0.00033916,-0.03516331,110.55,162.82,52.27,1.47281773,-0.0018075,0.00252129
2023-02-24,110.75,162.41,25.59,102.0,132.75,53.92,36.99,58.98,34.73,9.03e-05,0.00295986,0.00430782,0.01630874,0.00241346,0.01118997,0.0207601,-0.00406092,0.06667152,110.75,162.41,51.66,1.466455982,9.03e-05,0.00295986
2023-02-23,110.74,161.93,25.48,100.35,132.43,53.32,36.23,59.22,32.49,0.00916231,0.00980522,0.01462766,0.00880798,0.0132261,0.01721408,0.01445674,0.01360103,0.01582164,110.74,161.93,51.19,1.462253928,0.00916231,0.00980522
2023-02-22,109.73,160.35,25.11,99.47,130.69,52.41,35.71,58.42,31.98,-0.01303776,-0.00404544,-0.01227009,-0.00180796,-0.01148782,-0.01871333,-0.01913801,-0.02368176,0.04935317,109.73,160.35,50.62,1.461314135,-0.01303776,-0.00404544
2023-02-21,111.17,161.0,25.42,99.65,132.2,53.4,36.4,59.82,30.44,-0.00098899,-0.01142517,-0.01716111,0.00110447,0.01978599,0.00112423,-0.00274349,-0.01509776,-0.02626184,111.17,161.0,49.83,1.448232437,-0.00098899,-0.01142517
2023-02-17,111.28,162.85,25.86,99.54,129.61,53.34,36.5,60.73,31.25,-0.03921034,-0.02258611,-0.03495797,-0.05263858,-0.03308595,-0.04472886,-0.05542175,-0.02872875,-0.01838987,111.28,162.85,51.57,1.463425593,-0.03921034,-0.02258611
