Date,XOM,CVX,MRO,PSX,VLO,SLB,HAL,OXY,EQT
2023-03-03,0.01257766,0.01465586,0.01634085,0.00198272,0.0138376,0.01240019,0.01294014,0.01612938,0.02924444
2023-03-02,0.00458861,0.00314223,0.01194849,-0.01342428,-0.00043085,0.00744173,0.02318944,0.00933496,0.00180018
2023-03-01,0.00887687,0.00793016,0.02512892,0.04462132,0.05580372,0.03108483,0.03472006,0.01944764,0.00361011
2023-02-28,-0.00580606,-0.01267052,-0.02667871,-0.01057185,-0.02489071,-0.02211781,-0.02588348,-0.00680738,-0.01049328
2023-02-27,-0.0018075,0.00252129,0.00933496,0.01604703,0.01717742,0.00886269,0.00512338,-0.00033916,-0.03516331
2023-02-24,9.03e-05,0.00295986,0.00430782,0.01630874,0.00241346,0.01118997,0.0207601,-0.00406092,0.06667152
2023-02-23,0.00916231,0.00980522,0.01462766,0.00880798,0.0132261,0.01721408,0.01445674,0.01360103,0.01582164
2023-02-22,-0.01303776,-0.00404544,-0.01227009,-0.00180796,-0.01148782,-0.01871333,-0.01913801,-0.02368176,0.04935317
2023-02-21,-0.00098899,-0.01142517,-0.01716111,0.00110447,0.01978599,0.00112423,-0.00274349,-0.01509776,-0.02626184
2023-02-17,-0.03921034,-0.02258611,-0.03495797,-0.05263858,-0.03308595,-0.04472886,-0.05542175,-0.02872875,-0.01838987
2023-02-16,-0.00293357,-0.01454224,0.02687011,-0.01635429,-0.01775589,-0.00375772,0.0164645,-0.00637961,0.03875585
2023-02-15,-0.00301088,-0.01939533,-0.04096007,-0.01211571,-0.0240539,-0.01471527,-0.02626597,-0.05324687,-0.01491114
2023-02-14,-0.01178393,0.00763118,-0.0062397,-0.00286758,-0.00078715,-0.00858675,-0.00792539,0.0241049,0.00710368
2023-02-13,-0.01156277,-0.00559801,-0.01525084,0.0081618,-0.00663033,0.01671544,0.00638653,-0.01334478,-0.02590901
2023-02-10,0.04128712,0.02074044,0.06015176,0.05032328,0.05935527,0.045743,0.03547581,0.03772861,0.03764318
2023-02-09,0.00376747,-0.00921883,-0.01782714,-0.00615086,-0.01124703,-0.01602982,-0.04211696,-0.01148443,0.02288278
2023-02-08,-0.00873979,-0.02377397,-0.01009921,0.00448737,-0.00297797,0.01510158,0.0063849,-0.01042568,-0.02811497
2023-02-07,0.02815099,0.02589386,0.0410236,0.04193068,0.04897975,0.01495635,0.01861962,0.04836456,0.02242838
2023-02-06,-0.00169908,0.00112065,-0.0092629,-0.00741534,-0.02802123,0.0085123,-0.00676381,0.00504928,-0.04180883
2023-02-03,0.00690369,0.00260001,-0.00612794,-0.001719,-0.00997062,0.00667114,0.0002593,-0.01988587,-0.01838404
2023-02-02,-0.03178806,-0.01380872,-0.02227768,0.01005238,-0.02361964,-0.063175,-0.05744652,-0.01635346,0.00661732
2023-02-01,-0.0110077,-0.01540363,-0.02543916,-0.02300111,-0.02751205,-0.02272018,-0.00926158,-0.02011136,-0.03235119
2023-01-31,0.02134506,-0.00103383,0.01392984,-0.05952698,-0.00114196,0.01129557,0.02158004,0.010239,0.01604477
2023-01-30,-0.01789113,-0.02969255,-0.04405044,-0.02147422,-0.02131344,-0.01112005,-0.00445215,-0.036891,-0.02397165
2023-01-27,-0.0184262,-0.0454277,-0.01577043,-0.02506716,-0.04605651,-0.00873826,-0.01177639,-0.00823173,-0.00514919
2023-01-26,0.03940415,0.04749168,0.03179356,0.02396411,0.0450794,0.02145703,0.02394289,0.03905975,-0.00361882
2023-01-25,-0.00528589,-0.00972473,0.000359,0.0170485,-0.01165143,0.01396371,0.00475774,0.00139589,-0.02936589
2023-01-24,0.00926873,0.00094055,-0.00893661,0.00065436,0.0135367,-0.00700623,-0.01815744,-0.03162258,-0.0296638
